0,1,2,3,4,5,6,7,8,9,10,11,12
2020-05-02 11시 발표,PM10,"○ [미세먼지] 전 권역이 '보통'으로 예상됨. 다만, 경기북부·강원영서는 오후에 일시적으로 '나쁨' 수준일 것으로 예상됨.","○ [미세먼지] 대기 상태가 '보통' 수준이겠으나, 일부 중부내륙지역은 전일 미세먼지가 대기 정체로 축적되어 오후에 농도가 다소 높을 것으로 예상됨.","서울 : 보통,제주 : 보통,전남 : 보통,전북 : 보통,광주 : 보통,경남 : 보통,경북 : 보통,울산 : 보통,대구 : 보통,부산 : 보통,충남 : 보통,충북 : 보통,세종 : 보통,대전 : 보통,영동 : 보통,영서 : 보통,경기남부 : 보통,경기북부 : 보통,인천 : 보통",,http://www.airkorea.or.kr/file/viewImage/?atch_id=141501,http://www.airkorea.or.kr/file/viewImage/?atch_id=141502,http://www.airkorea.or.kr/file/viewImage/?atch_id=141503,http://www.airkorea.or.kr/file/viewImage/?atch_id=141504,http://www.airkorea.or.kr/file/viewImage/?atch_id=141505,http://www.airkorea.or.kr/file/viewImage/?atch_id=141506,2020-05-02
2020-05-02 11시 발표,PM10,○ [미세먼지] 전 권역이 '좋음'∼'보통'으로 예상됨.,○ [미세먼지] 원활한 대기 확산과 강수의 영향으로 대기 상태가 대체로 청정할 것으로 예상됨.,"서울 : 보통,제주 : 보통,전남 : 좋음,전북 : 좋음,광주 : 좋음,경남 : 좋음,경북 : 좋음,울산 : 좋음,대구 : 좋음,부산 : 좋음,충남 : 보통,충북 : 보통,세종 : 좋음,대전 : 좋음,영동 : 보통,영서 : 보통,경기남부 : 보통,경기북부 : 보통,인천 : 보통",,,,,,,,2020-05-03
2020-05-02 11시 발표,PM25,"○ [미세먼지] 전 권역이 '보통'으로 예상됨. 다만, 경기북부·강원영서는 오후에 일시적으로 '나쁨' 수준일 것으로 예상됨.","○ [미세먼지] 대기 상태가 '보통' 수준이겠으나, 일부 중부내륙지역은 전일 미세먼지가 대기 정체로 축적되어 오후에 농도가 다소 높을 것으로 예상됨.","서울 : 보통,제주 : 보통,전남 : 보통,전북 : 보통,광주 : 보통,경남 : 보통,경북 : 보통,울산 : 보통,대구 : 보통,부산 : 보통,충남 : 보통,충북 : 보통,세종 : 보통,대전 : 보통,영동 : 보통,영서 : 보통,경기남부 : 보통,경기북부 : 보통,인천 : 보통",,http://www.airkorea.or.kr/file/viewImage/?atch_id=141501,http://www.airkorea.or.kr/file/viewImage/?atch_id=141502,http://www.airkorea.or.kr/file/viewImage/?atch_id=141503,http://www.airkorea.or.kr/file/viewImage/?atch_id=141504,http://www.airkorea.or.kr/file/viewImage/?atch_id=141505,http://www.airkorea.or.kr/file/viewImage/?atch_id=141506,2020-05-02
2020-05-02 11시 발표,PM25,○ [미세먼지] 전 권역이 '좋음'∼'보통'으로 예상됨.,○ [미세먼지] 원활한 대기 확산과 강수의 영향으로 대기 상태가 대체로 청정할 것으로 예상됨.,"서울 : 보통,제주 : 보통,전남 : 좋음,전북 : 좋음,광주 : 좋음,경남 : 좋음,경북 : 좋음,울산 : 좋음,대구 : 좋음,부산 : 좋음,충남 : 보통,충북 : 보통,세종 : 좋음,대전 : 좋음,영동 : 보통,영서 : 보통,경기남부 : 보통,경기북부 : 보통,인천 : 보통",,,,,,,,2020-05-03
2020-05-02 11시 발표,O3,"○ [오존] 강원권은 '나쁨', 그 밖의 권역은 '보통'으로 예상됨.",○ [오존] 대기오염물질의 상층 유입으로 일부 중부지역은 오후에 농도가 일시적으로 높을 것으로 예상됨.,"서울 : 보통,제주 : 보통,전남 : 보통,전북 : 보통,광주 : 보통,경남 : 보통,경북 : 보통,울산 : 보통,대구 : 보통,부산 : 보통,충남 : 보통,충북 : 보통,세종 : 보통,대전 : 보통,영동 : 나쁨,영서 : 나쁨,경기남부 : 보통,경기북부 : 보통,인천 : 보통",,http://www.airkorea.or.kr/file/viewImage/?atch_id=141507,http://www.airkorea.or.kr/file/viewImage/?atch_id=141508,http://www.airkorea.or.kr/file/viewImage/?atch_id=141509,http://www.airkorea.or.kr/file/viewImage/?atch_id=141516,http://www.airkorea.or.kr/file/viewImage/?atch_id=141517,http://www.airkorea.or.kr/file/viewImage/?atch_id=141518,2020-05-02
2020-05-02 05시 발표,PM10,"○ [미세먼지] 전 권역이 '보통'으로 예상됨. 다만, 서울·경기북부·강원영서는 오전에 일시적으로 '나쁨' 수준일 것으로 예상됨.","○ [미세먼지] 대기 상태가 '보통' 수준이겠으나, 일부 중부내륙지역은 전일 미세먼지가 대기 정체로 축적되어 오전에 농도가 높을 것으로 예상됨.","서울 : 보통,제주 : 보통,전남 : 보통,전북 : 보통,광주 : 보통,경남 : 보통,경북 : 보통,울산 : 보통,대구 : 보통,부산 : 보통,충남 : 보통,충북 : 보통,세종 : 보통,대전 : 보통,영동 : 보통,영서 : 보통,경기남부 : 보통,경기북부 : 보통,인천 : 보통",,http://www.airkorea.or.kr/file/viewImage/?atch_id=141477,http://www.airkorea.or.kr/file/viewImage/?atch_id=141478,http://www.airkorea.or.kr/file/viewImage/?atch_id=141479,http://www.airkorea.or.kr/file/viewImage/?atch_id=141480,http://www.airkorea.or.kr/file/viewImage/?atch_id=141481,http://www.airkorea.or.kr/file/viewImage/?atch_id=141482,2020-05-02
2020-05-02 05시 발표,PM10,○ [미세먼지] 전 권역이 '좋음'∼'보통'으로 예상됨.,○ [미세먼지] 원활한 대기 확산과 강수의 영향으로 대체로 청정할 것으로 예상됨.,"서울 : 보통,제주 : 보통,전남 : 좋음,전북 : 좋음,광주 : 좋음,경남 : 좋음,경북 : 좋음,울산 : 좋음,대구 : 좋음,부산 : 좋음,충남 : 보통,충북 : 보통,세종 : 좋음,대전 : 좋음,영동 : 보통,영서 : 보통,경기남부 : 보통,경기북부 : 보통,인천 : 보통",,,,,,,,2020-05-03
2020-05-02 05시 발표,PM25,"○ [미세먼지] 전 권역이 '보통'으로 예상됨. 다만, 서울·경기북부·강원영서는 오전에 일시적으로 '나쁨' 수준일 것으로 예상됨.","○ [미세먼지] 대기 상태가 '보통' 수준이겠으나, 일부 중부내륙지역은 전일 미세먼지가 대기 정체로 축적되어 오전에 농도가 높을 것으로 예상됨.","서울 : 보통,제주 : 보통,전남 : 보통,전북 : 보통,광주 : 보통,경남 : 보통,경북 : 보통,울산 : 보통,대구 : 보통,부산 : 보통,충남 : 보통,충북 : 보통,세종 : 보통,대전 : 보통,영동 : 보통,영서 : 보통,경기남부 : 보통,경기북부 : 보통,인천 : 보통",,http://www.airkorea.or.kr/file/viewImage/?atch_id=141477,http://www.airkorea.or.kr/file/viewImage/?atch_id=141478,http://www.airkorea.or.kr/file/viewImage/?atch_id=141479,http://www.airkorea.or.kr/file/viewImage/?atch_id=141480,http://www.airkorea.or.kr/file/viewImage/?atch_id=141481,http://www.airkorea.or.kr/file/viewImage/?atch_id=141482,2020-05-02
2020-05-02 05시 발표,PM25,○ [미세먼지] 전 권역이 '좋음'∼'보통'으로 예상됨.,○ [미세먼지] 원활한 대기 확산과 강수의 영향으로 대체로 청정할 것으로 예상됨.,"서울 : 보통,제주 : 보통,전남 : 좋음,전북 : 좋음,광주 : 좋음,경남 : 좋음,경북 : 좋음,울산 : 좋음,대구 : 좋음,부산 : 좋음,충남 : 보통,충북 : 보통,세종 : 좋음,대전 : 좋음,영동 : 보통,영서 : 보통,경기남부 : 보통,경기북부 : 보통,인천 : 보통",,,,,,,,2020-05-03
2020-05-02 05시 발표,O3,"○ [오존] 경기도·강원도는 '나쁨', 그 밖의 권역은 '보통'으로 예상됨.",○ [오존] 대기오염물질의 상층 유입으로 일부 중부지역은 농도가 일시적으로 높을 것으로 예상됨.,"서울 : 보통,제주 : 보통,전남 : 보통,전북 : 보통,광주 : 보통,경남 : 보통,경북 : 보통,울산 : 보통,대구 : 보통,부산 : 보통,충남 : 보통,충북 : 보통,세종 : 보통,대전 : 보통,영동 : 나쁨,영서 : 나쁨,경기남부 : 나쁨,경기북부 : 나쁨,인천 : 보통",,http://www.airkorea.or.kr/file/viewImage/?atch_id=141483,http://www.airkorea.or.kr/file/viewImage/?atch_id=141484,http://www.airkorea.or.kr/file/viewImage/?atch_id=141485,http://www.airkorea.or.kr/file/viewImage/?atch_id=141492,http://www.airkorea.or.kr/file/viewImage/?atch_id=141493,http://www.airkorea.or.kr/file/viewImage/?atch_id=141494,2020-05-02
