id,댓글,공감수
1,  목소리가 좋아서 계속 보게된다 ,3
1,  이 형 목소리 완전 좋고 발음도 지리는데 구독이 너무 적다... 구독 누르고갑니다 조만간 실버버튼가실듯 ㅋㅋ ,3
1,  저가 갤럭시핏하고 미밴드4가있는데 그냥 싼 미밴드4사세요 성능 비슷비슷해요 ,3
1,  진짜 샤오미는 가성비 갑이다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ샤오갑 ,3
1,  음악조정하는걸로 유투브 조정도 가능함 ,3
1,"  https://coupa.ng/bkMvzr (정발판 31,900원 쿠팡 무료배송 제품 구매 링크) https://youtu.be/D1EFsxRzJ2Q 미밴드4 커스텀 워치 페이스 변경방법 (나이키 등) https://youtu.be/LfGp7-ycX_Y 미밴드 4 한글패치 가독성 패치 (정발 버전) https://youtu.be/Ys4EoiGqiCY 미밴드 4 언박싱 리뷰 ",3
1,  이거보고 미밴드 첫구매 해봤네요ㅎㅎ생각보다 괜찮은것 같습니다!감사해요~!! ,3
1,  스마트 밴드 입문자한테 딱이겠넹 ,3
1,  스마트워치 블루투스 연결하고 블루투스 이어폰도 같이 연결할수있나요??? 스마트폰에 블루투스 기기 동시에 몇개까지 가능한지 알수있나요 ,3
1,  커뮤니티에 올려주셔서 정발판 구매했습니다!! ,3
1,  추석 아가들 몰려오는 소리가 들립니다 ,3
1,  3일전 구매했는데 한글 폰트 업데이트 해주더라고요 크기가 커져서 보기 쉬워졌어요 ㅎㅎ ,3
1,  저도 미밴드4를 살까 고민을 했었지만 비슷한 때에 나온 갤럭시워치액티브2가 생각보다 싸게 나와서 액티브2를 이미 사버렸습니다.. ,3
1,"  저는 아직도 핏빗 알타 쓰고있는데, 바꿔야할까싶어요  ㅠㅠㅠ 핏빗은 가격에비해 기능도 너무 적어서 이제는 갈아타야할거같네요 ㅠㅠㅠㅠㅠ ",3
1,  애플워치3 42mm 쓰다가 너무 커서 잘 안쓰게 되길래 중고로 팔아버렸더니 또 걸음수 측정이 너무 안되길래 싼맛에 엊그제 샀는데 진짜 가격대비 너무 만족스러워요 사이즈가 작은것도 맘에 들고 ㅎㅎㅎ 특히나 저는 시계 포기 못해서 시계 못차고 애플워치 차고 다녔던게 좀 그랬는데 미밴드는 작아서.. 왼손에 시계차고 오른손에 미밴드 차도 모양새가 이상하진 않아서 좋네요 ㅎㅎ ,3
1,  굿굿! 임지님 오래간만이에요 ㅎㅎ 추석 막날까지 잘 보내셔요~~! ,3
1,  미밴드3을 중고로 3에 샀는데 3달만에 미밴드4가 3만원대로 나오다니 흑두루미.. ,3
1,  이영상 본다음에 샀어요^^ ,3
1,  난처음에 배터리 없던데... ,3
1,  드디어 구매했다는~~~~ 주섬주섬 다시 영상보러온 1인.... ,3
1,  5:58 브롤이 보인건 기분 탓인가? ㅎㅎ ,3
1,  와 가격...... ,3
1,  나이키 배경화면 설정은 미핏 어플에는 없던데 어디서 다운 받나요? 좀 알려주세요! ,3
1,  가성비 갑 ㄷㄷㄷㄷ ,3
1,  좋은콘텐츠로 헝상좋은정보 감사합니다.. ,3
1,  미밴드 와 어메이즈 핏빕을 모두 가진 ,3
1,  5:19 나도 저거처음에 보고 오 뭐지 하고 눌럿는데 심장마비 걸릴 번함 ㅎㄷㄷ 그래도 가끔 집에서 핸드폰 잃어버리면 저거 눌러서 쉽게 찾을 수 있음 ,3
