id,댓글,공감수
1,"  - 풀버전 리뷰는 http://bit.ly/2LrX3aO - 전반적으로, 118,000원에 이 정도면 아주 만족스러워요. GPS, 추가 앱, 추가 워치페이스 같은 고급 기능을 원하시면 갤럭시 워치 류나 기어 핏 2 프로로 가셔야 겠지만, 이건 그 만큼 배터리가 오래 가고, 작은 크기에도 특히 수영 측정을 포함한 제가 필요로 하는게 다 되니까요. 한 가지 걱정(?) 되는 건 미 밴드 4가 이 절반도 안 되는 가격에 부족한 게 없어 보인다는 건데, 그것도 써 보면 알겠죠. ",3
1,  F717 : 내가 찾던 그 아저씨 ,3
1,  주연 : 우리가 찾던 그 두목 ,3
1,  샤오미 미 밴드 4 리뷰: 내가 산 그 밴드 [4K] ,3
1,  두목님이었네... 칫. ,3
1,  노트 사고 성지순례 왔습니다 ,3
1,  핏 : 내가 찾던 그 밴드 핏 e : 장난감 미만 ㅋㅋㅋㅋㅋㅋ ,3
1,  (대충 하트 받고 싶다는 댓글) ,3
1,  업데이트로 음악컨트롤 추가됐습니다. ,3
1,  아... 두목님... 반갑네요... 하하... ,3
1,  두목님이 수영장가서 저렇게 운동을 했다고? ,3
1,  0:37 3:33 4:40 4:43 4:46 4:49 5:06 5:18   이끄요   4:13 4:42 5:15 5:25   이꾸 ,3
1,  한성컴퓨터의 underkg 이라는 모델명 사용에 대한 입장이 궁금합니다 ,3
1,  0:34 주인님이 할퀴고 지나간 두목님의 팔뚝... ,3
1,  아... 핏e 사지말고 핏 살껄.... 갑자기 후회되네.... ,3
1,  두목이 수영을.... 할수있나?? ,3
1,  0:19 - 혹시 콜옵님인가요?! ,3
1,  미밴드를 비교하셧지만 피트니스밴드나 워치류를 많이 써본 입장에서 싼건 그만큼 운동측정이 잘 안됩니다 인식 자체는 잘 되더라도 중요한 거리 측정이나 운동량 등을 같이 차고 비교해보면 확실히 미밴드같은 제품들은 측정 정확도가 떨어지는 걸 알 수가 잇죠 ,3
1,  0:09 삼성 갤럭시 삣! ,3
1,  앗 두목님... ,3
