id,댓글,공감수
1,"  - 풀버전 리뷰는 http://bit.ly/2LrX3aO - 전반적으로, 118,000원에 이 정도면 아주 만족스러워요. GPS, 추가 앱, 추가 워치페이스 같은 고급 기능을 원하시면 갤럭시 워치 류나 기어 핏 2 프로로 가셔야 겠지만, 이건 그 만큼 배터리가 오래 가고, 작은 크기에도 특히 수영 측정을 포함한 제가 필요로 하는게 다 되니까요. 한 가지 걱정(?) 되는 건 미 밴드 4가 이 절반도 안 되는 가격에 부족한 게 없어 보인다는 건데, 그것도 써 보면 알겠죠. ",3
1,  F717 : 내가 찾던 그 아저씨 ,3
1,  주연 : 우리가 찾던 그 두목 ,3
1,  샤오미 미 밴드 4 리뷰: 내가 산 그 밴드 [4K] ,3
1,  두목님이었네... 칫. ,3
1,  0:37 3:33 4:40 4:43 4:46 4:49 5:06 5:18   이끄요   4:13 4:42 5:15 5:25   이꾸 ,3
1,  한성컴퓨터의 underkg 이라는 모델명 사용에 대한 입장이 궁금합니다 ,3
1,  노트 사고 성지순례 왔습니다 ,3
1,  (대충 하트 받고 싶다는 댓글) ,3
1,  핏 : 내가 찾던 그 밴드 핏 e : 장난감 미만 ㅋㅋㅋㅋㅋㅋ ,3
1,  아... 두목님... 반갑네요... 하하... ,3
1,  업데이트로 음악컨트롤 추가됐습니다. ,3
1,  두목님이 수영장가서 저렇게 운동을 했다고? ,3
1,  두목이 수영을.... 할수있나?? ,3
1,  아... 핏e 사지말고 핏 살껄.... 갑자기 후회되네.... ,3
1,  0:19 - 혹시 콜옵님인가요?! ,3
1,  0:34 주인님이 할퀴고 지나간 두목님의 팔뚝... ,3
1,  미밴드를 비교하셧지만 피트니스밴드나 워치류를 많이 써본 입장에서 싼건 그만큼 운동측정이 잘 안됩니다 인식 자체는 잘 되더라도 중요한 거리 측정이나 운동량 등을 같이 차고 비교해보면 확실히 미밴드같은 제품들은 측정 정확도가 떨어지는 걸 알 수가 잇죠 ,3
1,  1:59 저는 시계 끼고 잤는데 일어나보니 침대 밑에 있더라고요... 그런데 시계는 깨져있고...ㅠ ,3
1,  0:09 삼성 갤럭시 삣! ,3
1,  앗 두목님... ,3
1,  어메이즈 핏빕 줄질해서 쓰는게 좋을거 같아요 주연님 보고싶어요 ,3
1,  왜 두목이.. ,3
1,  2:32 yee ,3
1,  이제 '내가 찾던' 드립 계속 보이겠네ㅋㅋㅋ ,3
1,  수영하는 모습 보고싶네요 뭔가 몸이 우마님 같으실 것 같음 ,3
1,  애플.......워치...........리뷰....... ,3
1,  구매후 잘 사용하고있습니다. 아주 만족하고 있고 이전에 미밴드에서 한글을 지원하지 않아 답답했었거든요. 가격은 약간 비싸긴 합니다... ,3
1,  갤럭시 워치 액티브를 살까요? 아니면 갤럭시 핏을 살까요? ,3
1,  리뷰 잘보고 가여 개꿀리뷰 감사염!! ,3
1,  꿀잼리뷰감사합니다 ,3
1,  애플워치4 리뷰는 안하시는건가요??ㅠㅜ ,3
1,  노트7에 끼워서 대량으로 풀어버린 기어핏2보다 더 좋은 걸 싸게 내야 팔릴 것 같다... ,3
1,  컬러 스트랩 나올걸요? ,3
1,  쉬이이이불 갤럭시 핏 필름 붙이다가 위치 이상해서 두개 있는거 다 버림..ㅎㅎㅎ  ㅜㅜㅜ ,3
1,  샤오미가 따라한거냐 삼성이 따라한거냐 하지만 승자는 샤오미네.. ,3
1,"  워치 액티브 몇 시간 전에 샀는데, ,.. ",3
1,  두목님ㅎㅎ 반...갑....습...니.. 하..  다... ㅎㅎ ,3
1,  그냥 미밴드4 3개사는게 나을것같다 ,3
1,  스마트폰 베젤리스는 발전 많이 했는데... 스마트워치도 베젤리스면 상당히 멋질 것 같은데요 ,3
1,  0:50 형 주인님이 팔 할퀴었어? ,3
1,  혹시 영상찍으려고 일부러 운동하신건가요...? ,3
1,  형들 갤럭시 핏vs애플워치 3  둘중에 어떤게 나을까요?  용도는 운동 및 일상이고 폰은 아이폰 사용하고있어요 ,3
1,"  7:05 뭔가 아쉬움 등이 느껴지는 제스쳐, 목소리가 뜬금없이 웃기네요 ㅋㅋㅋ 최근에 수영 다시 시작했는데 이 영상 보고 질렀습니다. 수면, 심박수 측정도 끌리고요 ",3
1,  ㄱㅇㄷ ,3
1,  핏과 액티브 비교는 ㅜㅜ 안되나요.. ,3
1,  손목에서 혼자 빠져서 잃어버렸는데 잃어버리면 끝이라는.. ,3
1,  지금 가격 뜨억락했습니다아아아!!! 구매 가즈아!!!! ,3
1,  계단 오르기 층수도 표시 되나요? s8+에서 되던 기능이 노트10+에서 안되서 난감하네 .. ,3
1,  수영할때 쓰면 어떤가요? 수영장에서 많이 보여서... 아이폰8플러스랑 같이 쓸수 있는지 궁금해요 ,3
1,  꼭 스마트 폰 하고 연결 해야하나요? ,3
1,  ant+ 지원에서 가민이랑 연동해서 심박센서를 쓸수있음 대박일텐대.... ,3
1,  갤핏 수영용으로 사용하려는 분들! 갤핏이 수영하다가 갑자기 시계로 돌아가고 수영모드가 꺼지는 현상이 있어요 이때 기록도 사라지고 어플에서도 기록이 없습니다 한 번만 그런게 아니고 여러번 그래서 알아보니 다른분들도 이 현상을 겪은 사람이 많더라구요 ,3
1,  개인적으로 음악컨트롤이 꼭 필요한데 없어서 아쉬워요 ㅠㅠ ,3
1,  요즘 저거 7만원에 팔던데 사도 되나요? ,3
1,  와 좋네요 ,3
1,  질문이 있는데 이 제품 음악 제어 기능 되나요? ,3
1,  0:31 10만원이라는 가격이 저렴 한 것일까? ,3
1,  내가 찾던 미 밴드 ,3
1,  삼성 기어퓟 ,3
1,  미밴드4도 문자오면 상용구로 문자 보낼수 있나요?? ,3
1,  학교에서 사용 할껀데 핸드폰을 꺼두고 사용하면 어디까지 기능이 제한되나요? ,3
1,  미밴드4가 아무리 가성비래도 마데짱꺠라는 것 떄문에 사고싶지가 않다 ,3
1,  팔에 털이있네? Skip ,3
1,  기상용 진동알람 기능이 있나요? 당연히 있겠지만 문의했더니 직원이 모르겠다고ㅋㅋㅋ; 수영측정 & 아침에 진동알람이 필요해서 갤럭시핏 보고 있는데 괜찮은지 궁금합니다 ,3
1,  핏 전작 잘 썼는데 갤워치 액티브 사서 만족스럽게 잘 쓰고 있습니다. 이것도 좋아보이네요. ,3
1,  두목님 핏e 나 핏은 블루투스 범위 밖으로 나갔다가 들어오면 자동연결이 되나요? ,3
1,  갤럭시 핏이랑 샤오미 미밴드4 중 어떤게 더 좋나요?? ,3
1,  오예 1빠 ,3
1,  골프 거리측정 가능한가요? ,3
1,  ㅎㅎ ,3
1,  미밴드 4~5개 가격.......ㅎㄷㄷ ,3
1,  저번 미밴드4에서 봤을때 느꼈지만 확실히 밝고 선명하네요.  미밴드도 야외시인성을 좀 갖춰야하는데.. 밴드에서 '워치'를 찾으면 안되는건가;;;ㅠㅠ ,3
1,  갤럭시 핏 심지어 핸드폰 바꾸면 무료로 주던데... ,3
1,  그것 어려 10년만에 LG먼져 만들 기술있고 ,3
1,  애플 스마트 폰은 연결이 되나요? ,3
1,  미밴드4도 많이기다리고읶어요! ,3
1,  기어 아이콘x와 연동하여 음악제어 가능한가요 ,3
1,  쓰던 워치 계속 차야겠네요 ,3
1,  이거 아이폰 6도 호환 되나요? ,3
1,  일반 무선충전기기에서 충전이 안되는점. 밴드색상이 부족하다는점. 사이즈는 적당한데 액정테두리가 크다는점.. 핏e가 알림내용과 수영기능만있엇어도.. ,3
1,  제품 사용하면서 블루투스 이어폰 사용 가능한가요? ,3
1,  용돈모아 하나 아버님 사드렸더니 매우좋아하십니다 ,3
1,  갤럭시 핏 vs 미밴드 4  대장님의 선택은? ,3
1,  핏e 쓰는데 이걸로 넘어가고 싶은 욕구가 밀려오네요;;;;; ,3
1,  두목님이 수영을 했어?! 와! ,3
1,  초기에 연동했다가 폰에서 멀어졌다가 가까워지면 자동으로 연결이 되나요? ,3
1,  두목좋아 ,3
1,  핏e는 안하시겠죠??!! ,3
1,  스마트폰이랑 연동이 되야만 사용가능한가요? ,3
1,"  118,000원 짜리 성능은 절대 아닌듯. 블루투스로 음악이라도 들을수있으면 적당한 가격이겠지만 ",3
1,  이거 사고 싶어도 미밴드4를 산 나는 대단하다 ,3
1,  Qcy t3도 리뷰 해주세요 ㅎㅎ ,3
1,  뭐야? 갤럭시워치 액티브하고 똑같네 ㅠ..ㅠ ,3
1,  통화 거절 할때 메세지 보낼 수 있는 기능은 있나요? ,3
1,  핏빗 버사는 어때요? ,3
1,  스트랩교체되는 모델인가요? ,3
1,  갤럭시워치 신제품 나오나요? ,3
1,  그래서 미밴드 4가 훨 낫다는거지 형아? ,3
1,  LG폰 되나요? ,3
1,  조깅 때문에 하나 구입 하고 싶지만 다음 세대를 구입해야하나? 생각 보다 좋아졌군요. 일주일이 사용이면 구매각에 가까워지는군요. 사이즈를 더욱 줄이면 좋을것 같은데...아직도 운동에는 큰 사이즈 ,3
1,  아이폰에도 연결 되죠? ,3
1,  진짜로 수영 하신거에요? ,3
1,  가볍고 배터리 오래가고 나름 만족스럽긴 한데 날씨에 미세먼지만 뜨면 참 좋겠네요 ,3
1,  수영이 가능하니 샤워도 가능한가요? ,3
1,  노트10플러스사전예약사은품이 이모델맞나요~~~??? ,3
1,  아니 밥먹을 시간에 갑자기 올리면 어케해요 ,3
1,  화면에서 만지시는 폰 이름 뭐에요?? ,3
1,  가성비로는샤오미를누를수없을듯... ,3
1,  아이패드 에어랑 미니 리뷰 언제할꺼야... 엪취리치아죠씨... ,3
1,  1등 ,3
1,  멜론같은 앱도 못까나요? ,3
1,  두목님 nfc됩니까? 교통카드로 쓰고싶은데.... ,3
1,  사용하신 핸드폰 기종이 뭔가요? ,3
1,  재밌네요~~ ,3
1,  미밴드4랑 고민끝에 이거 살려하는데  핏 줄이 만약 끊어졌을때 줄을 사야야나요 아님 as받을수 있는건가요?? ,3
1,  갤럭시 워치 액티브나 핏 기본제공 고무스트랩이 평상시에는 좋은데 운동을 할때 손목에 땀이 차서 묻으면 굉장히 잘 안지워지고 흔적이 남는데 그것도 많이 아쉬워요. ,3
1,  이제 u11도 렉 걸리는걸 보니 곳 바꿔야 될듯요.... ,3
1,  차라리 미벤드4를 사겠...읍읍...맞는말인게....가격 핏 e급이고 기능은 핏 급이고....샤오미 갓갓 ㅋㅋㅋ+한글화 언제 될까... ,3
1,  갤럭시 핏 살건데 통화도 돼나요?? ,3
1,  앱은 삼성헬스로 연동되는건가요? ,3
1,  F717님은 메인휴대폰 어떤거쓰시나요?? 자주안바꾸실거같은데 ,3
1,  기어핏1이나 2 화면보다 그렇게 작나요? ,3
1,  내구성는 어떤가요? ,3
1,  다른 어플 알람도 확인할수있나요? 디스코드 트위터 같은거욧 ,3
1,  삼성갤럭시 핏에서 ! 뜨면 어떻게해요? 계속 떠서 어떻게해야할지모르겠어요 ,3
1,  확실히 전작이 조금더 이쁘긴하네요 가격차이가 있긴하지만.. ,3
