id,댓글,공감수
1,"  - 삼성이 출시한 새 스마트밴드 2종인데, 핏은 온갖 운동 측정이 다 되고 화면도 컬러인게 118,800원. 핏e는 운동 측정이 훨씬 적고 흑백 화면인 대신 49,500원밖에 안 해요. 과연 미밴드 3를 누를 수 있을까요?? - 자세한 사진은 http://bit.ly/2HLc6tP ",3
1,"  건너 뛰었는데 갑자기 ""Yee를 가져왔어요!"" ㅋㅋㅋㅋㅋㅋ ",3
1,  애플 투명케이스 보다 저렴하다 ,3
1,  요즘 삼성 E에 맛들렸낰ㅋㅋㅋㅋㅋ ,3
1,  10:06 와칸다 포에버!! ,3
1,  10:10 와칸닼! ,3
1,  핏e는 미밴드3가 아니라 미밴드2급에 가격은 삼성감성이네요. ,3
1,  기어s 기어핏1 썼었는데  끼우는 충전 크레딧 방식 쓰다보면 무조건 부러집니다.ㅠㅠ ,3
1,  iOS용 Galaxy Wearable 앱은 One UI 대응이 안 돼있군요. ,3
1,  e가 essential이라고 하이마트 삼성코너에서 들었어요 ,3
1,  포기(?)할줄 아는 여자를 좋아하시는 엪치뤼치 ,3
1,  E 시리즈 너무 좋음 크기도 좋고 필요한 기능만 넣어놓고 가격도 착함 굳 ,3
1,  미밴드 4가 컬러 디스플레이&뮤직 컨트롤 달고 4~5만원대에 나와버려서 경쟁이 되려나요 ㅋㅋ ,3
1,  10:11 왂콴돩~♡ ,3
1,  10:10 와칸다 포에버억 ,3
1,  10:10 왘칸닼! ,3
1,  3:01 은냐. ,3
1,  3:45 수면 췌킹! ,3
1,  1:29 수면은 뭐다? 퉥킹! ,3
1,  1:40 오메! 나를 놀라게 했어 ㅋㅋㅋㅋㅋㅋ ,3
1,  3:45 췌킹 ,3
1,  음..안사길잘했다 ㅋㅋㅋㅋㅋ ,3
1,  충전기가 왠지 고장이 잘 날것같이 생겼네요..기어핏2 사용할때도 충전기때문에 스트레스 많이 받았는데 말이죠... ,3
1,  핏 e 어떤지 궁금해서 봤더니 그냥 지금 쓰는 미밴드 3 써야겠다는 생각이 드는군요. ,3
1,  수면 트뤡킹~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,3
1,  핏e 광고보니까 화면 꽉차게 광고 해놓고 존나 작게 만들어 놨네 원가절감 ,3
1,  손을 너무 떠셬ㅋㅋㅋㅋ ,3
1,  역시 오늘도! 언박싱! ,3
1,  1:40 엪들짝 ,3
1,  와칸다 완전 재밌네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,3
1,  드디어 기어핏2프로를 보내줄때가 왔군요...탐나네요ㅋㅋㅋ ,3
1,  기어 핏2 후속작인가.. 라고 생각했는데 완전 하위호환인듯.. ,3
