최저가,상품명,품목,밴드형태,화면크기,해상도,화면종류,화면,블루투스버전,항목,건강관리,부가기능,방수기능,대기,배터리종류,배터리용량,무게(밴드포함),무게,네트워크,내장OS,호환가능OS,사용시간,색상,재질,무게(본체),램,내장메모리,디자인,컨트롤,단자,CPU,충전,크기,항목2,통화유무,통화,음악,송신,크기(지름)
19800,샤오미미밴드4,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,,,,,,,,,,,,,,,,,,,
35220,삼성전자갤럭시핏e,스마트밴드,밴드교체형,"0.74""",64x128,P-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,,6~7일,,,,,,,,,,,,,,,,,
85500,삼성전자갤럭시핏,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,문자,"스트레스모니터링, 호흡가이드, 달리기, 사이클링, 심박측정, 칼로리측정, 수면패턴분석, 만보계",심박센서,방수(5ATM),20일,배터리일체형,120mAh,22g,22.1g,,,,7~8일,"실버, 블랙",,,,,,,,,,,,,,,,
20940,샤오미미밴드3,스마트밴드,밴드교체형,"0.78""",80x120,OLED,터치스크린,블루투스4.2,"문자, 전화","수영모니터링, 심박측정, 칼로리측정, 수면패턴분석, 만보계, 스트레칭알림","심박센서, 내휴대폰찾기, 날씨, 가속계센서, 알람설정",방수(5ATM),20일,배터리일체형,110mAh,20g,,,,,,,,,,,,,,,,,,,,,,
41290,Brook포고플포켓오토캐치리바이버,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,"iOS8.0이상, 안드로이드4.4이상",,,,,,,,,,,,,,,,,,
203100,핏빗Charge4,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,,7일,"로즈우드, 블랙, 스톰블루",,,,,,,,,,,,,,,,
105180,가민비보스포츠,스마트밴드,밴드일체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","스트레스모니터링, 체력연령측정, 일일활동량측정, 달리기, 심박측정","심박센서, GPS",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,,최대7일,,,,,,,,,,,,,,,,,
34890,샤오미미밴드4NFC,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,,,,,,,,,,,,,,,,,,,
56880,코아POWERG1,스마트워치,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,135mAh,22g,22.1g,,,,2~4일,,실리콘,45g,,,,,,,,,,,,,,
29000,화웨이밴드4,스마트밴드,밴드교체형,"0.95""",120x240,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화","이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 스트레칭알림","다중언어, 배터리확인, 화면테마설정, 알람설정, 진동경보",방수(5ATM),20일,배터리일체형,91mAh,22g,22.1g,,,,7일,,,,,,,,,,,,,,,,,
